Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
attracted,pose,"female:a nymphomaniac, a monomaniac, a sex machine, a sex addict","a desire, a lust, a passion, an ecstasy, a spectacle, an erection, a yearning, an extreme love, a true desire, a crush, the desire, a wolf whistle, a boner, a burning passion, a hormonal teenager, a horny rabbit, a paroxysm, excitement","of passion, in love, to sexual pleasure, to lust, to desire, for the eyes, in mating season, of lust, of sexual assault, of desires, for the senses, humping a leg, of orgasms, of ecstasy, of the senses, of desire, of sexual obsession, of pleasure spasms, in sexual bliss, having an orgasm, for sensory overload, filled with sensuality, in the loins, to Planet Drool, of unleashed sexuality, of lusting eyes, in a sex machine, of a sex machine, of rapture, of erotic fiction, of sensual pleasure, filled with passion, with no shame, of great passion, with tremendous gusto, preparing for sex, ordering a lap dance, chasing after women, chasing virgins, chasing women, chasing flappers, marrying underage girls, planning adultery, publishing soft pornography, chasing old women, chasing starlets","nude, posing","attracted female:a nymphomaniac, a monomaniac, a sex machine, a sex addict a desire, a lust, a passion, an ecstasy, a spectacle, an erection, a yearning, an extreme love, a true desire, a crush, the desire, a wolf whistle, a boner, a burning passion, a hormonal teenager, a horny rabbit, a paroxysm, excitement of passion, in love, to sexual pleasure, to lust, to desire, for the eyes, in mating season, of lust, of sexual assault, of desires, for the senses, humping a leg, of orgasms, of ecstasy, of the senses, of desire, of sexual obsession, of pleasure spasms, in sexual bliss, having an orgasm, for sensory overload, filled with sensuality, in the loins, to Planet Drool, of unleashed sexuality, of lusting eyes, in a sex machine, of a sex machine, of rapture, of erotic fiction, of sensual pleasure, filled with passion, with no shame, of great passion, with tremendous gusto, preparing for sex, ordering a lap dance, chasing after women, chasing virgins, chasing women, chasing flappers, marrying underage girls, planning adultery, publishing soft pornography, chasing old women, chasing starlets"
bowing,pose,"a supplicant, a vassal",,"of humility, of deep reverence, of deep respect, in humility, of great modesty, of great humility, of deep humility, appeasing belligerent dictators","ruling, commanding, summoning","bowing a supplicant, a vassal  of humility, of deep reverence, of deep respect, in humility, of great modesty, of great humility, of deep humility, appeasing belligerent dictators"
catering,pose,"a caterer, a bartender, female:barmaid, a bar man","a tray, a cocktail, a martini, a clear glass, a welcome glass","with a bartender, full of drinks, of extraordinary elegance, at the garden party","eating, drinking, sipping, slurping","catering a caterer, a bartender, female:barmaid, a bar man a tray, a cocktail, a martini, a clear glass, a welcome glass with a bartender, full of drinks, of extraordinary elegance, at the garden party"
charming,pose,"a charmer, a lounge lizard, a romancer, a diplomat","the smile, the charm, a Kennedy, a smile","of great charisma, with a smile, of a smile, of immense charm, of mutual respect, full of charm","charmed, high fiving","charming a charmer, a lounge lizard, a romancer, a diplomat the smile, the charm, a Kennedy, a smile of great charisma, with a smile, of a smile, of immense charm, of mutual respect, full of charm"
composing,pose,"a composer, a musician, a virtuoso, a pianist, a piano player, a music lover","a keyboard, music, a symphony, a musical, a beat, a musical message, a musical remake, a piano, the music, a chord, a jukebox, a medley, a mesmerizing medley, a musical journey, an orchestra, a musical genius, a musical virtuoso, a musical visionary, a true virtuoso, a jukebox, a tribute band, a rock concert, a wedding band, a musical trip","for music lovers, in an orchestra, of classical music, of rock music, of music, of melodic discord, of progressive music, in a music thumping dance club, filled with music, in music, of traditional music, for live music, of beautiful music, devoted to music, of musical curiosities, composing advertizing jingles, composing classical music, playing classical piano, playing rock piano, playing the organ, playing the piano, writing experimental songs, of Phillip Glass","singing, listening","composing a composer, a musician, a virtuoso, a pianist, a piano player, a music lover a keyboard, music, a symphony, a musical, a beat, a musical message, a musical remake, a piano, the music, a chord, a jukebox, a medley, a mesmerizing medley, a musical journey, an orchestra, a musical genius, a musical virtuoso, a musical visionary, a true virtuoso, a jukebox, a tribute band, a rock concert, a wedding band, a musical trip for music lovers, in an orchestra, of classical music, of rock music, of music, of melodic discord, of progressive music, in a music thumping dance club, filled with music, in music, of traditional music, for live music, of beautiful music, devoted to music, of musical curiosities, composing advertizing jingles, composing classical music, playing classical piano, playing rock piano, playing the organ, playing the piano, writing experimental songs, of Phillip Glass"
drinking,pose,"a drinker, a drunk, an alcoholic, a drunkard, a social drinker, a reveller, a libertine, a regular, a bar fly","a glass, a drink, a beer, a party, a tall glass, a cold glass, a deadbeat father, a frat boy, a night out, a cold beer, a tavern","in a brewery, of drunken revelry, of beer, at the bar, in a freshman dormitory, with a 6 pack, in the pub, full of beer, of holiday cheer, in the village pub, with a drunk, of booze, of mead, of root beer, of alcohol abuse, full of drunks, full of drinks, of drinking, full of booze, under the influence, full of bars, drinking one's life away, serving beer, drinking Duff beer, on a beer, in a brewery, at a bar, at the bar","slurping, sipping, catering","drinking a drinker, a drunk, an alcoholic, a drunkard, a social drinker, a reveller, a libertine, a regular, a bar fly a glass, a drink, a beer, a party, a tall glass, a cold glass, a deadbeat father, a frat boy, a night out, a cold beer, a tavern in a brewery, of drunken revelry, of beer, at the bar, in a freshman dormitory, with a 6 pack, in the pub, full of beer, of holiday cheer, in the village pub, with a drunk, of booze, of mead, of root beer, of alcohol abuse, full of drunks, full of drinks, of drinking, full of booze, under the influence, full of bars, drinking one's life away, serving beer, drinking Duff beer, on a beer, in a brewery, at a bar, at the bar"
toasting,pose,"a drinker, a regular, a bar fly","a toast, a whiskey, a vodka , a soda, a coke, a bourbon, a week old glass, a clear glass, a glass, a glass of water, a cold glass, a welcome glass, a tall glass, a clear glass, a drinking glass","at the bar, of orange juice, of Red Bull, of ice water, of tap water, of Coke, of single malt, of grog, of tonic water, of seltzer water, of soda, of sweet iced tea, of vodka, of whisky, of whiskey, of cool water, of ice tea, drinking White Russians","slurping, sipping, catering","toasting a drinker, a regular, a bar fly a toast, a whiskey, a vodka , a soda, a coke, a bourbon, a week old glass, a clear glass, a glass, a glass of water, a cold glass, a welcome glass, a tall glass, a clear glass, a drinking glass at the bar, of orange juice, of Red Bull, of ice water, of tap water, of Coke, of single malt, of grog, of tonic water, of seltzer water, of soda, of sweet iced tea, of vodka, of whisky, of whiskey, of cool water, of ice tea, drinking White Russians"
embracing,pose,a hugger,"an embrace, a hug","of tolerance, preaching tolerance, promoting diversity, promoting openness, promoting racial harmony, promoting tolerance, promoting world peace",greeting,"embracing a hugger an embrace, a hug of tolerance, preaching tolerance, promoting diversity, promoting openness, promoting racial harmony, promoting tolerance, promoting world peace"
enchanting,pose,"a magician, a mage, a sorcerer, a charmer, female:an enchantress, a genie, a wizard, female:a witch, a miracle worker, female:a white witch, a witch doctor, a shaman, an enchanter, a conjuror","a magic wand, a wand, a magic spell, a miracle, a wonder, an illusion, a magic formula, the transforming power, a true miracle, the illusion, a magical dude, a fairy, a fairy tale, a fairytale, a gimmick, a magic formula, an adept, an elf, a spell, magic","for wizards, for magic, of Harry Potter, of witchcraft, of black magic, of fairy dust, for witchcraft, of magic realism, for love spells, of miracles, of magic, of the Force, of miracles, at Disney World, in a fairy tale, of illusion, of a magic wand, of colourful creations, of enchantment, on the Hogwarts express, full of wizards, of the wand, from a fairy tale, full of magic, of pizzazz, of mysticism, of mystique, casting magic spells, creating optical illusions, meddling in the dark arts, performing magic tricks, performing street magic, playing quidditch, practicing the Occult, promoting Kaballah, promoting mysticism, studying magic, studying magic tricks, teaching magic, on the Hogwarts express","charmed, brainwashed, indicating","enchanting a magician, a mage, a sorcerer, a charmer, female:an enchantress, a genie, a wizard, female:a witch, a miracle worker, female:a white witch, a witch doctor, a shaman, an enchanter, a conjuror a magic wand, a wand, a magic spell, a miracle, a wonder, an illusion, a magic formula, the transforming power, a true miracle, the illusion, a magical dude, a fairy, a fairy tale, a fairytale, a gimmick, a magic formula, an adept, an elf, a spell, magic for wizards, for magic, of Harry Potter, of witchcraft, of black magic, of fairy dust, for witchcraft, of magic realism, for love spells, of miracles, of magic, of the Force, of miracles, at Disney World, in a fairy tale, of illusion, of a magic wand, of colourful creations, of enchantment, on the Hogwarts express, full of wizards, of the wand, from a fairy tale, full of magic, of pizzazz, of mysticism, of mystique, casting magic spells, creating optical illusions, meddling in the dark arts, performing magic tricks, performing street magic, playing quidditch, practicing the Occult, promoting Kaballah, promoting mysticism, studying magic, studying magic tricks, teaching magic, on the Hogwarts express"
enticing,pose,"a tempter, female:a temptress","a cake, a piece of cake, whipped cream, a treat, a dessert, a pie, an apple pie, a biscuit cake, a cream cake, a cake sale, a chocolate cake, a crumb cake, a fruit cake, a rice cake, a sponge cake, a wedding cake, a birthday cake, a sweet thing, eating cake","of whipped cream, on a wedding cake, for food lovers, to decadence, without the guilt, of sponge cake, in a sweet shop, of candy, of sugar, made of gingerbread, of icing sugar, of angel food, on the cake, for a cake, of angel food cake, looking after mother",catering,"enticing a tempter, female:a temptress a cake, a piece of cake, whipped cream, a treat, a dessert, a pie, an apple pie, a biscuit cake, a cream cake, a cake sale, a chocolate cake, a crumb cake, a fruit cake, a rice cake, a sponge cake, a wedding cake, a birthday cake, a sweet thing, eating cake of whipped cream, on a wedding cake, for food lovers, to decadence, without the guilt, of sponge cake, in a sweet shop, of candy, of sugar, made of gingerbread, of icing sugar, of angel food, on the cake, for a cake, of angel food cake, looking after mother"
